39.2,0.30
39.0,0.35
38.5,0.35
38.0,0.40
37.5,0.35
37.0,0.40
36.5,0.40
36.0,0.40
35.5,0.40
35.0,0.40
34.5,0.40
34.0,0.40
33.5,0.40
33.0,0.40
32.5,0.40
32.0,0.45
31.5,0.45
31.0,0.50
30.5,0.60
30.0,0.65
29.5,0.75
29.0,0.90
28.5,1.05
28.0,1.20
27.5,1.30
27.0,1.50
26.5,1.65
26.0,1.80
25.5,1.90
25.0,2.00
24.5,2.05
24.0,2.05
23.5,2.05
23.0,2.00
22.5,1.95
22.0,1.90
21.5,1.80
21.0,1.70
20.5,1.55
20.0,1.40
19.5,1.25
19.0,1.10
18.5,0.90
18.0,0.80
17.5,0.70
17.0,0.65
16.5,0.60
16.0,0.60
15.5,0.60
15.0,0.60
14.5,0.60
14.0,0.60
13.5,0.60
13.0,0.60
12.5,0.60
12.0,0.55
11.5,0.55
11.0,0.50
10.5,0.50
10.0,0.45
9.5,0.45
9.0,0.45
